"Step","[-lr x100 + full run] additional_embedder_embedding_only_Qwen2.5-7B-z81onjbd - val/f1_score","[-lr x100 + full run] additional_embedder_embedding_only_Qwen2.5-7B-z81onjbd - val/f1_score__MIN","[-lr x100 + full run] additional_embedder_embedding_only_Qwen2.5-7B-z81onjbd - val/f1_score__MAX","[-bert-cls] additional_embedder_bert_Qwen2.5-7B-unjwg5m0 - val/f1_score","[-bert-cls] additional_embedder_bert_Qwen2.5-7B-unjwg5m0 - val/f1_score__MIN","[-bert-cls] additional_embedder_bert_Qwen2.5-7B-unjwg5m0 - val/f1_score__MAX","[-freeze self.embedding] additional_embedder_embedding_only_Qwen2.5-7B-gf084j3h - val/f1_score","[-freeze self.embedding] additional_embedder_embedding_only_Qwen2.5-7B-gf084j3h - val/f1_score__MIN","[-freeze self.embedding] additional_embedder_embedding_only_Qwen2.5-7B-gf084j3h - val/f1_score__MAX","[+compress=5] additional_embedder_embedding_only_Qwen2.5-7B-dbcxnmyo - val/f1_score","[+compress=5] additional_embedder_embedding_only_Qwen2.5-7B-dbcxnmyo - val/f1_score__MIN","[+compress=5] additional_embedder_embedding_only_Qwen2.5-7B-dbcxnmyo - val/f1_score__MAX","[-higher lr] additional_embedder_embedding_only_Qwen2.5-7B-t0w8nkkj - val/f1_score","[-higher lr] additional_embedder_embedding_only_Qwen2.5-7B-t0w8nkkj - val/f1_score__MIN","[-higher lr] additional_embedder_embedding_only_Qwen2.5-7B-t0w8nkkj - val/f1_score__MAX","[+10k/100] additional_embedder_embedding_only_Qwen2.5-7B-pnqv9heu - val/f1_score","[+10k/100] additional_embedder_embedding_only_Qwen2.5-7B-pnqv9heu - val/f1_score__MIN","[+10k/100] additional_embedder_embedding_only_Qwen2.5-7B-pnqv9heu - val/f1_score__MAX","[-copy=False] additional_embedder_embedding_only_Qwen2.5-7B-vqbv01nd - val/f1_score","[-copy=False] additional_embedder_embedding_only_Qwen2.5-7B-vqbv01nd - val/f1_score__MIN","[-copy=False] additional_embedder_embedding_only_Qwen2.5-7B-vqbv01nd - val/f1_score__MAX","[-1000/250->10 true] additional_embedder_embedding_only_Qwen2.5-7B-qihrorzw - val/f1_score","[-1000/250->10 true] additional_embedder_embedding_only_Qwen2.5-7B-qihrorzw - val/f1_score__MIN","[-1000/250->10 true] additional_embedder_embedding_only_Qwen2.5-7B-qihrorzw - val/f1_score__MAX","[longest overfit] additional_embedder_embedding_only_Qwen2.5-7B-622prjqm - val/f1_score","[longest overfit] additional_embedder_embedding_only_Qwen2.5-7B-622prjqm - val/f1_score__MIN","[longest overfit] additional_embedder_embedding_only_Qwen2.5-7B-622prjqm - val/f1_score__MAX","[val!=train] additional_embedder_embedding_only_Qwen2.5-7B-rlb0stoo - val/f1_score","[val!=train] additional_embedder_embedding_only_Qwen2.5-7B-rlb0stoo - val/f1_score__MIN","[val!=train] additional_embedder_embedding_only_Qwen2.5-7B-rlb0stoo - val/f1_score__MAX"
"64","","","","","","","","","","","","","","","","","","","","","","","","","0.10222222222222224","0.10222222222222224","0.10222222222222224","","",""
"130","","","","","","","","","","","","","","","","","","","","","","","","","0.540952380952381","0.540952380952381","0.540952380952381","","",""
"196","","","","","","","","","","","","","","","","","","","","","","","","","0.41666666666666663","0.41666666666666663","0.41666666666666663","","",""
"262","","","","","","","","","","","","","","","","","","","","","","","","","0.7466666666666667","0.7466666666666667","0.7466666666666667","","",""
"328","","","","","","","","","","","","","","","","","","","","","","","","","0.7466666666666667","0.7466666666666667","0.7466666666666667","","",""
"394","","","","","","","","","","","","","","","","","","","","","","","","","0.7466666666666667","0.7466666666666667","0.7466666666666667","","",""
"460","","","","","","","","","","","","","","","","","","","","","","","","","0.7466666666666667","0.7466666666666667","0.7466666666666667","","",""
"526","","","","","","","","","","","","","","","","","","","","","","","","","0.7466666666666667","0.7466666666666667","0.7466666666666667","","",""
"592","","","","","","","","","","","","","","","","","","","","","","","","","0.7466666666666667","0.7466666666666667","0.7466666666666667","","",""
"600","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.135260212010212","0.135260212010212","0.135260212010212"
"658","","","","","","","","","","","","","","","","","","","","","","","","","0.7466666666666667","0.7466666666666667","0.7466666666666667","","",""
"724","","","","","","","","","","","","","","","","","","","","","","","","","0.7466666666666667","0.7466666666666667","0.7466666666666667","","",""
"790","","","","","","","","","","","","","","","","","","","","","","","","","0.7466666666666667","0.7466666666666667","0.7466666666666667","","",""
"856","","","","","","","","","","","","","","","","","","","","","","","","","0.7466666666666667","0.7466666666666667","0.7466666666666667","","",""
"922","","","","","","","","","","","","","","","","","","","","","","","","","0.7466666666666667","0.7466666666666667","0.7466666666666667","","",""
"988","","","","","","","","","","","","","","","","","","","","","","","","","0.7466666666666667","0.7466666666666667","0.7466666666666667","","",""
"1100","","","","0.27961904761904766","0.27961904761904766","0.27961904761904766","0.24433333333333337","0.24433333333333337","0.24433333333333337","0.23961904761904762","0.23961904761904762","0.23961904761904762","0.2030952380952381","0.2030952380952381","0.2030952380952381","0.22529437229437232","0.22529437229437232","0.22529437229437232","0.2450952380952381","0.2450952380952381","0.2450952380952381","0.284961038961039","0.284961038961039","0.284961038961039","","","","","",""
"1201","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1642314352314353","0.1642314352314353","0.1642314352314353"
"1303","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1642314352314353","0.1642314352314353","0.1642314352314353"
"1904","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1355813630813631","0.1355813630813631","0.1355813630813631"
"2201","","","","0.21497619047619046","0.21497619047619046","0.21497619047619046","0.22423809523809524","0.22423809523809524","0.22423809523809524","0.2664285714285715","0.2664285714285715","0.2664285714285715","0.21492857142857144","0.21492857142857144","0.21492857142857144","0.22942857142857145","0.22942857142857145","0.22942857142857145","","","","","","","","","","","",""
